Transaction_ID,Customer_ID,Card_Number,Customer_Age,Gender,Merchant_Category,Amount,Transaction_Date,Transaction_Time,City,State,Country,Device_Type,Card_Present,CVV_Matched,International_Transaction,Daily_Transaction_Count,Previous_Fraud_Count,Class
TXN100040,CUST1470,0076617711592124,57,Female,Healthcare,149194.43,2026-09-29,09:29:32,Jaipur,Rajasthan,India,Tablet,Yes,Yes,Yes,14,3,1
TXN100041,CUST1234,6576615654527111,23,Female,Fuel,111701.12,2026-07-10,04:35:03,Jaipur,Rajasthan,India,POS,Yes,No,No,14,5,1
TXN100042,CUST1053,4945198327315851,66,Female,E-Commerce,33962.56,2026-08-08,17:49:52,Jaipur,Rajasthan,India,Mobile,No,Yes,Yes,9,5,1
TXN100043,CUST1781,4550229612018366,47,Female,Electronics,55539.46,2026-06-16,18:38:05,Chennai,Tamil Nadu,India,Laptop,Yes,Yes,Yes,9,3,1
TXN100044,CUST1678,6797643815614978,60,Female,Grocery,33116.74,2026-11-03,01:00:13,Hyderabad,Telangana,India,Laptop,Yes,No,No,11,0,1
TXN100045,CUST1765,6226838851606071,38,Female,E-Commerce,60693.21,2026-11-24,13:18:07,Mumbai,Maharashtra,India,Mobile,No,Yes,No,12,0,0
TXN100046,CUST1109,3696816453521818,50,Male,Travel,52697.41,2026-11-27,04:15:06,Madurai,Tamil Nadu,India,POS,Yes,Yes,Yes,3,1,0
TXN100047,CUST1644,7799799552717744,55,Male,Travel,76125.17,2026-06-08,14:28:02,Chennai,Tamil Nadu,India,POS,No,Yes,Yes,20,4,1
TXN100048,CUST1520,6798079359782071,69,Female,Fuel,75707.12,2026-03-30,01:15:45,Delhi,Delhi,India,Tablet,Yes,No,No,10,3,0
TXN100049,CUST1347,9051518644925192,40,Female,Healthcare,19386.3,2026-12-29,02:19:35,Mumbai,Maharashtra,India,POS,Yes,Yes,No,17,2,1
TXN100050,CUST1317,2357332214188805,67,Male,E-Commerce,56539.14,2026-03-25,05:53:44,Jaipur,Rajasthan,India,Laptop,No,Yes,No,12,5,1
TXN100051,CUST1737,3794738347359774,67,Female,ATM,79142.6,2026-03-24,06:51:38,Madurai,Tamil Nadu,India,POS,Yes,No,No,18,0,0
TXN100052,CUST1529,1412478261375060,43,Female,Fashion,57955.61,2026-02-11,11:14:01,Kochi,Kerala,India,Mobile,No,Yes,Yes,2,2,0
TXN100053,CUST1484,2779010432898614,33,Female,Fuel,7210.03,2026-08-03,20:50:39,Delhi,Delhi,India,Mobile,Yes,No,Yes,17,4,1
TXN100054,CUST1248,2460953962185188,50,Male,Healthcare,131006.05,2026-01-23,20:24:23,Hyderabad,Telangana,India,Mobile,No,Yes,No,8,5,0
TXN100055,CUST1107,9520585277221704,30,Male,Fashion,132874.27,2026-06-11,09:32:25,Pune,Maharashtra,India,Tablet,No,Yes,Yes,10,2,1
TXN100056,CUST1800,0541566765277584,69,Male,Healthcare,11885.1,2026-11-05,05:34:18,Kochi,Kerala,India,Mobile,Yes,No,No,10,3,0
TXN100057,CUST1437,2757059640165820,27,Female,Grocery,18978.19,2026-05-01,20:23:23,Mumbai,Maharashtra,India,Mobile,Yes,No,No,12,3,0
TXN100058,CUST1588,2856543102786814,67,Female,Entertainment,32224.84,2026-11-10,09:44:58,Delhi,Delhi,India,Laptop,Yes,Yes,Yes,15,1,0
TXN100059,CUST1456,1551884422583132,33,Female,Grocery,54166.43,2026-10-21,11:29:51,Pune,Maharashtra,India,Laptop,Yes,Yes,No,13,5,0
TXN100060,CUST1539,6691251778528922,45,Male,Fuel,77739.41,2026-06-05,05:10:20,Bengaluru,Karnataka,India,POS,No,Yes,No,7,5,0
TXN100061,CUST1282,2498182992299590,70,Male,Fuel,6867.0,2026-11-25,18:16:41,Bengaluru,Karnataka,India,Tablet,Yes,No,No,10,3,0
TXN100062,CUST1702,6471027677359255,64,Female,Healthcare,19658.38,2026-07-09,16:35:06,Kochi,Kerala,India,Laptop,No,Yes,No,15,1,0
TXN100063,CUST1052,4696325953278774,49,Male,Fuel,141787.66,2026-09-16,14:15:13,Jaipur,Rajasthan,India,POS,Yes,Yes,No,16,4,0
TXN100064,CUST1670,7480162456506098,30,Female,ATM,43325.82,2026-07-17,16:28:48,Pune,Maharashtra,India,POS,Yes,Yes,Yes,13,2,0
TXN100065,CUST1348,8523986800025787,27,Male,Travel,139708.74,2026-06-13,05:25:39,Hyderabad,Telangana,India,POS,No,No,No,1,2,1
TXN100066,CUST1340,1694097499309728,58,Female,Electronics,123258.11,2026-05-05,01:36:44,Coimbatore,Tamil Nadu,India,Laptop,Yes,No,No,14,1,1
TXN100067,CUST1423,3689702838578652,47,Female,ATM,53175.33,2026-12-15,20:51:44,Hyderabad,Telangana,India,Tablet,Yes,Yes,No,18,2,0
TXN100068,CUST1305,4375758441986652,36,Male,Restaurant,143299.29,2026-02-10,11:59:28,Hyderabad,Telangana,India,Tablet,Yes,Yes,No,18,5,0
TXN100069,CUST1112,9933083301657120,53,Male,Healthcare,97951.28,2026-09-01,15:41:12,Hyderabad,Telangana,India,POS,No,Yes,Yes,19,1,1
TXN100070,CUST1548,0262067240049915,36,Female,ATM,78671.56,2026-03-10,16:29:17,Bengaluru,Karnataka,India,Mobile,No,Yes,No,9,5,0
TXN100071,CUST1755,5493296685161227,38,Male,Grocery,39154.75,2026-05-01,14:48:17,Kochi,Kerala,India,POS,Yes,No,No,8,0,0
TXN100072,CUST1477,4268414593327279,41,Female,ATM,136923.89,2026-10-03,21:52:13,Bengaluru,Karnataka,India,Mobile,No,No,Yes,19,0,1
TXN100073,CUST1064,8839822587139718,46,Male,Entertainment,19835.05,2026-08-01,14:36:03,Pune,Maharashtra,India,Tablet,No,Yes,No,9,0,0
TXN100074,CUST1593,1065180170462265,42,Female,Healthcare,56378.05,2026-12-16,21:55:34,Madurai,Tamil Nadu,India,POS,Yes,Yes,No,17,1,0
TXN100075,CUST1229,0047868633752431,20,Female,E-Commerce,114919.72,2026-01-09,07:13:04,Coimbatore,Tamil Nadu,India,Mobile,No,Yes,Yes,2,3,1
TXN100076,CUST1450,3830284395995342,60,Male,Healthcare,45110.12,2026-02-01,17:37:56,Madurai,Tamil Nadu,India,Tablet,No,Yes,No,13,4,0
TXN100077,CUST1427,6246287334270866,53,Male,Healthcare,36466.63,2026-04-15,10:41:05,Delhi,Delhi,India,POS,Yes,Yes,Yes,9,3,0
TXN100078,CUST1618,0139837354033173,62,Male,Healthcare,137273.21,2026-10-10,10:49:18,Mumbai,Maharashtra,India,Tablet,No,No,No,12,4,1
TXN100079,CUST1510,7175355609320489,55,Female,Restaurant,22904.09,2026-06-18,07:24:36,Bengaluru,Karnataka,India,Tablet,No,No,No,16,3,1
TXN100080,CUST1173,5228728080100623,22,Male,Grocery,32847.01,2026-08-22,11:03:39,Jaipur,Rajasthan,India,Tablet,No,Yes,Yes,18,4,1
TXN100081,CUST1422,0084840862118233,57,Female,Travel,40135.34,2026-07-23,02:23:25,Delhi,Delhi,India,Laptop,Yes,No,Yes,2,0,1
TXN100082,CUST1416,6687002176591803,31,Female,Restaurant,7031.97,2026-02-08,21:59:17,Pune,Maharashtra,India,Mobile,Yes,No,Yes,7,4,1
TXN100083,CUST1148,6142939685621850,24,Female,Fashion,125809.26,2026-06-24,19:49:39,Jaipur,Rajasthan,India,Tablet,No,Yes,No,15,3,1
TXN100084,CUST1234,5866296194311426,63,Male,Healthcare,47535.9,2026-02-24,02:00:19,Delhi,Delhi,India,POS,No,Yes,Yes,3,1,0
TXN100085,CUST1571,8861015819956046,42,Male,ATM,135785.88,2026-05-05,18:33:10,Mumbai,Maharashtra,India,Laptop,Yes,No,No,9,3,1
TXN100086,CUST1150,1264647154379937,24,Male,Restaurant,1064.77,2026-07-22,10:53:39,Mumbai,Maharashtra,India,POS,No,No,No,20,1,0
TXN100087,CUST1618,3752654793564651,54,Male,E-Commerce,149589.88,2026-04-03,21:49:35,Chennai,Tamil Nadu,India,Tablet,Yes,No,No,3,3,1
TXN100088,CUST1690,7243426617979688,62,Female,ATM,5562.94,2026-07-04,22:57:51,Pune,Maharashtra,India,Mobile,Yes,Yes,No,6,5,0
TXN100089,CUST1577,6561014388899375,43,Female,E-Commerce,103581.07,2026-03-19,11:01:30,Coimbatore,Tamil Nadu,India,POS,No,Yes,Yes,5,2,1
TXN100090,CUST1320,5738757177514010,39,Male,Electronics,139491.87,2026-05-05,16:11:35,Madurai,Tamil Nadu,India,POS,No,No,Yes,13,5,1
TXN100091,CUST1189,2660937966033419,24,Male,Travel,48931.44,2026-08-23,03:16:42,Delhi,Delhi,India,POS,No,No,Yes,12,2,1
TXN100092,CUST1469,9249912513412528,42,Female,E-Commerce,20723.2,2026-07-16,13:11:31,Pune,Maharashtra,India,Laptop,Yes,No,No,5,1,0
TXN100093,CUST1462,9050723688767677,28,Male,E-Commerce,4677.56,2026-04-23,09:02:17,Bengaluru,Karnataka,India,POS,Yes,No,No,18,4,1
TXN100094,CUST1116,9148580783613407,34,Female,Fuel,65888.53,2026-03-02,07:13:51,Jaipur,Rajasthan,India,POS,No,Yes,Yes,7,1,0
TXN100095,CUST1584,5849825449481260,35,Male,Electronics,37489.1,2026-12-31,10:53:15,Mumbai,Maharashtra,India,Tablet,Yes,No,No,13,3,1
TXN100096,CUST1078,1684577590175186,31,Female,Fashion,74232.51,2026-06-15,09:21:35,Jaipur,Rajasthan,India,Laptop,No,No,Yes,2,0,1
TXN100097,CUST1642,7012770632424154,23,Female,Electronics,7815.5,2026-11-17,09:46:44,Bengaluru,Karnataka,India,Tablet,Yes,Yes,Yes,7,3,0
TXN100098,CUST1608,3870051627136111,38,Female,Restaurant,20612.54,2026-03-10,20:43:09,Coimbatore,Tamil Nadu,India,Mobile,Yes,No,No,7,5,0
TXN100099,CUST1422,9731121965652341,33,Female,Grocery,127191.42,2026-12-04,09:13:33,Jaipur,Rajasthan,India,Laptop,No,No,Yes,8,3,1
TXN100100,CUST1396,1379180552696582,66,Female,Fuel,2552.58,2026-02-04,00:16:13,Chennai,Tamil Nadu,India,Mobile,No,No,No,14,5,1
TXN100101,CUST1412,1889241418328569,58,Male,Restaurant,104816.45,2026-05-03,01:15:05,Mumbai,Maharashtra,India,Mobile,No,Yes,No,6,0,1
TXN100102,CUST1141,0275884252410564,51,Male,Restaurant,106862.87,2026-10-23,20:04:31,Delhi,Delhi,India,POS,Yes,No,Yes,12,1,1
TXN100103,CUST1262,1913800030756220,53,Female,Fashion,48304.21,2026-08-02,23:20:17,Coimbatore,Tamil Nadu,India,POS,Yes,Yes,Yes,8,4,0
TXN100104,CUST1411,1744518705349493,47,Female,E-Commerce,145780.07,2026-04-11,23:57:34,Bengaluru,Karnataka,India,Laptop,Yes,No,Yes,8,4,1
TXN100105,CUST1355,0506413836702410,32,Female,Travel,68795.78,2026-02-13,18:06:32,Madurai,Tamil Nadu,India,Tablet,Yes,Yes,No,5,1,0
TXN100106,CUST1323,6557431329121277,38,Female,Fuel,80411.89,2026-04-17,14:19:29,Hyderabad,Telangana,India,Mobile,Yes,Yes,No,20,0,0
TXN100107,CUST1336,2135680442067883,24,Female,Fuel,120594.32,2026-03-13,03:00:03,Bengaluru,Karnataka,India,Laptop,Yes,No,No,3,4,1
TXN100108,CUST1601,4101372151070296,70,Female,Entertainment,4470.87,2026-12-16,13:11:22,Bengaluru,Karnataka,India,Laptop,No,No,No,5,0,0
TXN100109,CUST1632,3476870146263838,68,Male,Healthcare,117298.27,2026-07-03,15:34:50,Delhi,Delhi,India,POS,No,No,No,6,0,0
TXN100110,CUST1225,0407859321334803,54,Female,Travel,140284.14,2026-03-30,05:15:37,Kochi,Kerala,India,POS,Yes,No,Yes,19,1,1
TXN100111,CUST1505,8427010393087059,30,Male,Travel,107554.8,2026-06-15,01:01:09,Jaipur,Rajasthan,India,Laptop,Yes,No,Yes,12,5,1
TXN100112,CUST1679,6915452267528953,60,Male,Healthcare,46058.14,2026-12-19,09:08:11,Chennai,Tamil Nadu,India,Tablet,Yes,Yes,No,20,1,0
TXN100113,CUST1107,7251355215704331,40,Female,Fuel,108076.02,2026-01-25,12:28:46,Mumbai,Maharashtra,India,Laptop,No,No,No,12,4,1
TXN100114,CUST1385,1793271040541152,42,Male,Fuel,82079.59,2026-02-17,10:38:39,Delhi,Delhi,India,Mobile,No,Yes,No,6,0,0
TXN100115,CUST1211,3688444310698720,41,Male,Healthcare,13189.87,2026-12-05,20:38:30,Bengaluru,Karnataka,India,Mobile,Yes,Yes,Yes,10,0,0
TXN100116,CUST1119,4677418625652704,46,Female,Restaurant,33975.03,2026-05-18,18:03:09,Coimbatore,Tamil Nadu,India,Mobile,No,No,Yes,18,0,1
TXN100117,CUST1397,8687937416089899,27,Male,Entertainment,25973.2,2026-03-27,06:51:12,Madurai,Tamil Nadu,India,Mobile,No,Yes,No,7,5,0
TXN100118,CUST1610,4511686854870998,68,Female,Fuel,62195.64,2026-03-17,18:37:37,Coimbatore,Tamil Nadu,India,Mobile,Yes,No,No,14,2,0
TXN100119,CUST1498,9970246299606530,65,Female,Restaurant,134559.85,2026-01-11,10:52:50,Hyderabad,Telangana,India,POS,No,No,Yes,8,1,1
TXN100120,CUST1308,7546913736785082,22,Female,ATM,60537.6,2026-09-26,18:01:11,Bengaluru,Karnataka,India,Laptop,Yes,Yes,Yes,15,0,0
TXN100121,CUST1722,3457861035797279,53,Female,Travel,24568.87,2026-05-13,23:53:44,Coimbatore,Tamil Nadu,India,POS,Yes,No,Yes,6,4,1
TXN100122,CUST1799,3333468007229034,56,Female,Restaurant,63599.83,2026-07-12,11:29:16,Bengaluru,Karnataka,India,Tablet,No,No,Yes,1,4,1
TXN100123,CUST1679,5899441715454443,27,Male,Grocery,120824.2,2026-11-04,12:42:20,Madurai,Tamil Nadu,India,Mobile,No,No,No,14,3,1
TXN100124,CUST1398,0993538758428241,48,Male,Restaurant,108791.74,2026-10-14,05:43:57,Kochi,Kerala,India,Mobile,Yes,No,Yes,10,3,1
TXN100125,CUST1340,5494717099917381,61,Female,ATM,44788.45,2026-01-28,04:08:12,Kochi,Kerala,India,Tablet,No,Yes,No,6,0,0
TXN100126,CUST1647,2500743292712966,43,Female,Entertainment,57528.3,2026-01-20,17:12:46,Kochi,Kerala,India,Mobile,No,Yes,Yes,1,5,0
TXN100127,CUST1232,5421689421044789,51,Female,Healthcare,133201.71,2026-03-10,10:57:31,Kochi,Kerala,India,Laptop,Yes,No,Yes,8,1,1
TXN100128,CUST1745,2309821506489090,60,Male,Grocery,7282.85,2026-03-01,13:28:24,Coimbatore,Tamil Nadu,India,POS,No,Yes,Yes,1,2,0
TXN100129,CUST1104,8499261891411739,30,Female,ATM,145969.3,2026-07-03,22:26:18,Madurai,Tamil Nadu,India,Mobile,No,Yes,No,11,1,1
TXN100130,CUST1688,1197218114374470,24,Male,Grocery,127844.69,2026-07-04,21:20:27,Coimbatore,Tamil Nadu,India,Mobile,Yes,Yes,Yes,6,2,1
TXN100131,CUST1367,7941552166746762,25,Male,Grocery,147236.3,2026-03-23,03:26:58,Jaipur,Rajasthan,India,Tablet,No,Yes,No,12,4,1
TXN100132,CUST1030,2771670145089935,51,Male,Healthcare,99273.9,2026-05-08,15:22:42,Mumbai,Maharashtra,India,Laptop,Yes,Yes,Yes,17,3,1
TXN100133,CUST1508,2175354083866317,46,Female,Fuel,128495.55,2026-08-17,10:07:31,Chennai,Tamil Nadu,India,Mobile,No,No,Yes,18,4,1
TXN100134,CUST1001,1994883755037589,56,Female,Travel,107401.23,2026-02-28,03:48:42,Bengaluru,Karnataka,India,Mobile,No,No,No,18,4,1
TXN100135,CUST1383,1027261493316373,63,Female,Fuel,113584.54,2026-01-24,20:53:43,Jaipur,Rajasthan,India,Mobile,No,No,Yes,16,0,1
TXN100136,CUST1544,0869782922169958,42,Female,E-Commerce,137390.74,2026-05-08,08:25:21,Hyderabad,Telangana,India,Tablet,Yes,Yes,No,20,5,1
TXN100137,CUST1767,8485833394522885,63,Male,Travel,84363.92,2026-10-26,18:42:45,Mumbai,Maharashtra,India,POS,No,Yes,Yes,1,3,1
TXN100138,CUST1149,0034244204380571,57,Male,ATM,58363.55,2026-09-19,22:18:44,Chennai,Tamil Nadu,India,Tablet,No,No,No,18,0,1
TXN100139,CUST1258,3973598933472122,65,Male,Healthcare,6143.1,2026-05-23,17:16:08,Madurai,Tamil Nadu,India,POS,Yes,No,No,5,0,0
TXN100140,CUST1331,9094798515832818,28,Female,ATM,80578.54,2026-02-17,11:14:56,Bengaluru,Karnataka,India,POS,No,No,No,7,4,1
TXN100141,CUST1544,7801573993056164,52,Female,Grocery,136704.82,2026-07-11,16:51:32,Delhi,Delhi,India,Tablet,Yes,No,Yes,11,4,1
TXN100142,CUST1085,1288013361386120,47,Female,Grocery,13173.76,2026-01-28,05:50:16,Pune,Maharashtra,India,Mobile,Yes,No,No,13,3,0
TXN100143,CUST1444,5061809190158144,56,Male,Restaurant,114802.87,2026-08-13,12:25:52,Chennai,Tamil Nadu,India,Tablet,Yes,Yes,Yes,13,4,1
TXN100144,CUST1303,2450882100996881,37,Male,Travel,31799.95,2026-11-27,16:09:10,Madurai,Tamil Nadu,India,Laptop,No,Yes,Yes,6,5,1
TXN100145,CUST1581,0878141413975523,24,Female,E-Commerce,10517.84,2026-04-10,10:31:28,Kochi,Kerala,India,POS,Yes,No,No,14,1,1
TXN100146,CUST1253,3645257775478129,23,Female,Electronics,133699.99,2026-04-11,08:46:56,Coimbatore,Tamil Nadu,India,Mobile,Yes,Yes,No,19,1,0
TXN100147,CUST1565,4887256394278816,41,Male,Fashion,127204.88,2026-11-11,21:10:48,Pune,Maharashtra,India,Laptop,No,Yes,Yes,19,4,1
TXN100148,CUST1676,2750373145303856,48,Female,Grocery,6033.71,2026-11-29,10:06:45,Pune,Maharashtra,India,POS,No,Yes,No,13,2,0
TXN100149,CUST1080,8463865577908272,32,Male,ATM,96539.38,2026-04-19,04:11:10,Kochi,Kerala,India,Mobile,Yes,No,No,4,3,1
TXN100150,CUST1692,7739260302992280,54,Male,Grocery,24992.89,2026-04-03,16:25:38,Jaipur,Rajasthan,India,Mobile,No,Yes,Yes,15,4,1
TXN100151,CUST1483,7236929298425799,22,Male,Healthcare,57850.01,2026-02-25,00:12:33,Pune,Maharashtra,India,Tablet,Yes,Yes,Yes,16,4,1
TXN100152,CUST1615,0881172980686508,45,Male,Entertainment,118443.86,2026-07-15,11:37:51,Jaipur,Rajasthan,India,Mobile,No,Yes,No,16,1,0
TXN100153,CUST1086,4986430098180635,44,Female,Fuel,23259.05,2026-11-30,18:16:16,Pune,Maharashtra,India,Tablet,No,No,No,7,3,0
TXN100154,CUST1571,7258874495621372,24,Male,ATM,60114.11,2026-06-23,17:39:44,Chennai,Tamil Nadu,India,Laptop,No,Yes,Yes,5,3,1
TXN100155,CUST1615,6114351906698490,67,Male,Entertainment,65873.86,2026-04-14,21:59:51,Pune,Maharashtra,India,POS,Yes,Yes,Yes,20,1,0
TXN100156,CUST1369,3021465669380118,36,Female,Travel,144494.99,2026-05-22,07:38:12,Delhi,Delhi,India,Tablet,Yes,No,Yes,14,4,1
TXN100157,CUST1110,8184518489476973,66,Female,Entertainment,102255.12,2026-10-28,00:30:07,Hyderabad,Telangana,India,Mobile,No,Yes,Yes,11,3,1
TXN100158,CUST1362,8804341651827553,54,Female,Electronics,142070.36,2026-12-16,06:31:47,Bengaluru,Karnataka,India,Laptop,Yes,No,Yes,8,1,1
TXN100159,CUST1256,9521117908075957,54,Female,Entertainment,27471.64,2026-09-19,08:25:14,Jaipur,Rajasthan,India,Laptop,Yes,No,No,18,0,0
TXN100160,CUST1404,2718750036915594,29,Female,Fashion,40447.76,2026-11-10,10:23:11,Delhi,Delhi,India,Tablet,Yes,No,No,12,3,0
TXN100161,CUST1185,9293143866322702,44,Female,Electronics,149334.49,2026-11-19,16:34:46,Kochi,Kerala,India,Tablet,No,No,Yes,13,0,1
TXN100162,CUST1708,2034717545588450,44,Male,Travel,130111.92,2026-11-07,06:36:36,Pune,Maharashtra,India,Laptop,No,No,No,17,3,1
TXN100163,CUST1794,7169472256996112,39,Male,Travel,47565.89,2026-05-30,22:17:38,Mumbai,Maharashtra,India,POS,No,No,No,14,1,0
TXN100164,CUST1024,2341326111780068,66,Male,Fuel,39404.72,2026-03-21,02:41:59,Mumbai,Maharashtra,India,POS,Yes,Yes,No,15,5,0
TXN100165,CUST1540,2005577848728299,47,Female,ATM,95985.99,2026-10-01,09:58:22,Delhi,Delhi,India,Laptop,Yes,No,No,12,3,1
TXN100166,CUST1267,2400825478077406,69,Female,E-Commerce,34720.75,2026-01-04,17:23:12,Mumbai,Maharashtra,India,Tablet,No,Yes,Yes,13,3,1
TXN100167,CUST1226,4163894484631224,25,Female,E-Commerce,67942.45,2026-12-25,19:31:12,Kochi,Kerala,India,Mobile,Yes,Yes,Yes,6,0,0
TXN100168,CUST1129,7031207356475705,23,Male,Grocery,40012.21,2026-07-20,02:34:30,Madurai,Tamil Nadu,India,Laptop,No,No,Yes,4,5,1
