Transaction_ID,Customer_ID,Card_Number,Customer_Age,Gender,Merchant_Category,Amount,Transaction_Date,Transaction_Time,City,State,Country,Device_Type,Card_Present,CVV_Matched,International_Transaction,Daily_Transaction_Count,Previous_Fraud_Count
TXN102048,CUST1643,9987093391369412,70,Female,Restaurant,10667.72,2026-07-17,00:14:10,Mumbai,Maharashtra,India,Tablet,No,Yes,Yes,18,0
TXN102049,CUST1357,7631010896546125,32,Female,Grocery,58305.19,2026-05-28,00:03:17,Delhi,Delhi,India,POS,No,No,No,18,3
TXN102050,CUST1794,9894848170361007,69,Female,Grocery,113036.36,2026-08-16,15:48:55,Bengaluru,Karnataka,India,Tablet,No,No,Yes,7,0
TXN102051,CUST1455,8111719600490214,36,Female,Fuel,141724.74,2026-07-02,10:54:37,Mumbai,Maharashtra,India,Tablet,No,Yes,Yes,8,5
TXN102052,CUST1678,8496552391703353,18,Male,Restaurant,92597.46,2026-10-27,18:11:24,Mumbai,Maharashtra,India,POS,Yes,No,Yes,20,3
TXN102053,CUST1664,7317394624872385,51,Female,Travel,145463.85,2026-05-05,19:09:55,Delhi,Delhi,India,Tablet,No,Yes,No,3,1
TXN102054,CUST1281,9317967060558173,70,Female,Entertainment,91148.36,2026-03-02,22:07:24,Madurai,Tamil Nadu,India,POS,Yes,No,Yes,12,2
TXN102055,CUST1403,4639897014557039,63,Male,Restaurant,99228.73,2026-09-01,22:53:06,Pune,Maharashtra,India,Tablet,No,Yes,No,11,1
TXN102056,CUST1619,0509260001101561,44,Male,E-Commerce,68977.98,2026-10-15,08:50:16,Jaipur,Rajasthan,India,Mobile,Yes,Yes,Yes,1,0
TXN102057,CUST1689,8823846990867233,22,Male,Restaurant,99813.31,2026-09-28,03:31:43,Delhi,Delhi,India,Laptop,No,No,No,14,0
TXN102058,CUST1621,2218822063186417,42,Male,Fashion,124279.07,2026-03-21,06:26:16,Coimbatore,Tamil Nadu,India,Tablet,Yes,No,Yes,11,5
TXN102059,CUST1625,9167640323919325,26,Male,Healthcare,120766.24,2026-02-22,05:24:56,Jaipur,Rajasthan,India,Laptop,No,No,No,6,1
TXN102060,CUST1321,2964448436868111,37,Male,Fashion,6997.51,2026-05-12,00:38:45,Pune,Maharashtra,India,Mobile,No,No,No,3,2
TXN102061,CUST1325,5906278790259120,63,Female,Healthcare,143059.73,2026-08-28,05:07:26,Madurai,Tamil Nadu,India,Tablet,No,Yes,Yes,5,1
TXN102062,CUST1332,8418029559997737,68,Male,E-Commerce,124595.22,2026-09-08,18:20:48,Kochi,Kerala,India,Mobile,Yes,No,No,9,5
TXN102063,CUST1088,1173670386256761,24,Male,Travel,142213.8,2026-05-30,23:54:10,Bengaluru,Karnataka,India,Laptop,Yes,Yes,Yes,12,3
TXN102064,CUST1256,0829248287321078,51,Male,Fuel,25806.14,2026-08-14,07:45:27,Kochi,Kerala,India,POS,No,Yes,Yes,1,3
TXN102065,CUST1137,0197084287416279,62,Female,Fashion,94403.14,2026-06-17,02:10:39,Kochi,Kerala,India,POS,No,Yes,Yes,1,2
TXN102066,CUST1083,0819484226230036,18,Female,Electronics,19393.84,2026-06-14,01:09:47,Pune,Maharashtra,India,Laptop,Yes,Yes,No,5,5
TXN102067,CUST1282,3753916928091663,25,Female,Healthcare,91851.84,2026-10-13,15:46:43,Hyderabad,Telangana,India,Mobile,Yes,Yes,Yes,9,2
TXN102068,CUST1286,4106166497008445,53,Male,Fuel,49413.21,2026-12-02,03:31:26,Hyderabad,Telangana,India,Laptop,No,Yes,Yes,19,1
TXN102069,CUST1303,1150509699613152,63,Female,Travel,24011.59,2026-05-06,22:10:08,Pune,Maharashtra,India,Mobile,No,Yes,No,15,5
TXN102070,CUST1312,3540476253950111,39,Male,Travel,47935.23,2026-12-18,13:53:11,Delhi,Delhi,India,Tablet,Yes,No,Yes,8,0
TXN102071,CUST1456,4890304588097186,22,Female,Electronics,26754.73,2026-04-23,11:44:21,Hyderabad,Telangana,India,POS,Yes,Yes,No,12,4
TXN102072,CUST1417,7577991137983045,47,Female,Electronics,66350.68,2026-05-09,10:49:55,Coimbatore,Tamil Nadu,India,Mobile,No,Yes,No,17,4
TXN102073,CUST1476,0152213368960083,35,Female,Healthcare,102129.77,2026-02-06,04:42:32,Jaipur,Rajasthan,India,Laptop,Yes,No,No,13,0
TXN102074,CUST1759,1399799271560338,61,Female,ATM,132295.13,2026-12-13,11:56:53,Madurai,Tamil Nadu,India,POS,No,Yes,No,8,4
TXN102075,CUST1479,6309007379499944,38,Female,Restaurant,130438.77,2026-06-08,08:07:54,Chennai,Tamil Nadu,India,Tablet,No,Yes,No,5,3
TXN102076,CUST1656,5434759160435983,57,Female,E-Commerce,111128.78,2026-08-25,19:45:50,Jaipur,Rajasthan,India,Tablet,No,No,No,17,1
TXN102077,CUST1689,7568167843407307,59,Male,Entertainment,69880.47,2026-07-18,03:56:58,Bengaluru,Karnataka,India,POS,Yes,Yes,No,17,4
TXN102078,CUST1224,6922338540336999,39,Male,ATM,49987.95,2026-01-23,23:11:14,Coimbatore,Tamil Nadu,India,Laptop,No,No,Yes,6,3
TXN102079,CUST1244,5514972490322347,49,Male,Restaurant,63610.94,2026-11-10,10:56:02,Jaipur,Rajasthan,India,Laptop,No,No,No,12,5
TXN102080,CUST1463,0200617413644594,69,Female,Healthcare,16718.0,2026-03-23,03:35:36,Bengaluru,Karnataka,India,Mobile,Yes,No,Yes,14,2
TXN102081,CUST1031,7612228305644685,33,Male,Restaurant,55678.21,2026-06-15,10:37:21,Chennai,Tamil Nadu,India,Laptop,No,Yes,No,14,0
TXN102082,CUST1512,7789433276399046,20,Male,ATM,26732.59,2026-05-06,12:36:24,Madurai,Tamil Nadu,India,Tablet,Yes,Yes,Yes,5,0
TXN102083,CUST1578,7550617906701512,20,Male,Fashion,87623.59,2026-04-17,08:19:39,Chennai,Tamil Nadu,India,Tablet,No,No,Yes,4,3
TXN102084,CUST1187,1833391929692105,32,Male,Entertainment,12801.7,2026-03-30,13:02:55,Chennai,Tamil Nadu,India,Laptop,Yes,Yes,No,15,5
TXN102085,CUST1287,2705498578872820,43,Male,Electronics,23858.97,2026-12-05,16:53:44,Chennai,Tamil Nadu,India,Mobile,Yes,No,Yes,10,2
TXN102086,CUST1426,6589524760960647,27,Female,Travel,26573.76,2026-08-25,06:28:35,Delhi,Delhi,India,POS,No,No,No,1,3
TXN102087,CUST1004,9465777061298897,27,Female,Electronics,59862.89,2026-02-01,19:08:32,Madurai,Tamil Nadu,India,Tablet,Yes,No,No,4,3
TXN102088,CUST1028,0537186056688031,62,Female,Healthcare,45876.88,2026-08-30,18:53:23,Coimbatore,Tamil Nadu,India,Laptop,No,Yes,Yes,6,2
TXN102089,CUST1137,8535416019919848,19,Female,Grocery,139647.75,2026-03-02,15:00:44,Pune,Maharashtra,India,Tablet,No,Yes,No,6,0
TXN102090,CUST1492,7107404336895796,46,Male,Restaurant,61871.97,2026-12-09,01:20:04,Coimbatore,Tamil Nadu,India,Mobile,Yes,Yes,No,2,0
TXN102091,CUST1509,8502050254972392,20,Male,Grocery,148464.1,2026-03-30,19:57:56,Delhi,Delhi,India,POS,No,No,No,11,5
TXN102092,CUST1236,9659744252694204,23,Female,Restaurant,16995.22,2026-04-19,14:18:02,Kochi,Kerala,India,Mobile,Yes,Yes,No,20,1
TXN102093,CUST1455,6699768160855717,37,Male,Travel,78168.7,2026-11-12,23:25:33,Pune,Maharashtra,India,Mobile,No,No,Yes,17,0
TXN102094,CUST1217,5862405744509998,45,Male,Electronics,38802.64,2026-05-05,10:09:28,Jaipur,Rajasthan,India,Mobile,Yes,Yes,Yes,2,5
TXN102095,CUST1531,5184668985932135,70,Female,Fuel,75037.01,2026-04-18,01:52:42,Delhi,Delhi,India,Laptop,No,Yes,Yes,5,1
TXN102096,CUST1673,6425972055482987,68,Male,E-Commerce,21178.9,2026-02-02,09:30:43,Hyderabad,Telangana,India,POS,No,No,No,1,2
TXN102097,CUST1179,9371784721461727,39,Male,Restaurant,51653.36,2026-03-15,19:53:57,Madurai,Tamil Nadu,India,Tablet,No,No,No,19,4
TXN102098,CUST1538,7754458474134019,26,Male,Healthcare,149208.41,2026-01-02,22:21:38,Mumbai,Maharashtra,India,Laptop,No,No,Yes,19,1
TXN102099,CUST1258,6389012484479365,44,Male,Fuel,147179.2,2026-07-29,17:51:25,Madurai,Tamil Nadu,India,Laptop,Yes,Yes,No,1,5
TXN102100,CUST1429,5948053160227433,21,Male,Entertainment,144035.28,2026-04-01,20:45:48,Delhi,Delhi,India,Mobile,No,Yes,No,10,3
TXN102101,CUST1361,6311213807828780,43,Female,Fuel,47876.55,2026-06-02,11:39:55,Pune,Maharashtra,India,POS,No,No,Yes,12,3
TXN102102,CUST1334,4180288252128866,55,Male,Travel,125135.46,2026-11-11,08:24:37,Jaipur,Rajasthan,India,POS,Yes,Yes,No,15,0
TXN102103,CUST1337,2031329887123203,45,Female,ATM,65500.0,2026-05-31,04:50:28,Delhi,Delhi,India,Tablet,Yes,No,No,6,3
TXN102104,CUST1148,8760320877834710,44,Male,ATM,34172.02,2026-04-24,08:40:40,Kochi,Kerala,India,POS,No,Yes,No,14,1
TXN102105,CUST1198,2770045358597302,67,Female,Fashion,111832.34,2026-12-09,04:10:35,Kochi,Kerala,India,Tablet,Yes,No,Yes,9,0
TXN102106,CUST1782,2555468939770411,44,Female,ATM,80638.68,2026-02-05,11:50:37,Mumbai,Maharashtra,India,POS,No,No,Yes,17,3
TXN102107,CUST1352,6904484673322912,36,Female,Travel,80222.12,2026-12-20,14:01:00,Mumbai,Maharashtra,India,Laptop,Yes,No,No,19,4
TXN102108,CUST1694,4264076089530120,32,Male,E-Commerce,76772.25,2026-12-22,03:15:46,Pune,Maharashtra,India,Tablet,Yes,No,Yes,18,1
TXN102109,CUST1254,5689058108015337,35,Male,Travel,60584.84,2026-01-11,04:40:41,Delhi,Delhi,India,Tablet,Yes,No,Yes,11,3
TXN102110,CUST1375,9695794575959955,19,Female,Travel,134487.81,2026-05-03,22:40:24,Madurai,Tamil Nadu,India,Mobile,No,Yes,No,17,2
TXN102111,CUST1294,1839525252078821,43,Female,Fuel,131056.25,2026-11-09,20:45:11,Coimbatore,Tamil Nadu,India,POS,No,No,No,10,2
TXN102112,CUST1153,0302769473088240,30,Female,Fashion,25886.82,2026-02-16,05:47:18,Hyderabad,Telangana,India,Mobile,Yes,Yes,No,8,2
TXN102113,CUST1660,0941218052579599,21,Male,Restaurant,138764.69,2026-09-02,19:58:16,Coimbatore,Tamil Nadu,India,Laptop,Yes,Yes,No,10,3
TXN102114,CUST1009,1891134348571339,67,Female,Electronics,133879.44,2026-08-07,17:26:05,Madurai,Tamil Nadu,India,Tablet,Yes,No,Yes,4,0
TXN102115,CUST1155,0291381301494802,57,Male,ATM,81778.11,2026-09-28,22:04:37,Mumbai,Maharashtra,India,Tablet,No,No,Yes,7,0
TXN102116,CUST1587,1990821335683172,32,Female,Healthcare,73383.96,2026-06-03,22:56:44,Coimbatore,Tamil Nadu,India,Tablet,Yes,Yes,Yes,18,4
TXN102117,CUST1095,9187405013320344,55,Female,Healthcare,4221.0,2026-09-10,02:16:57,Pune,Maharashtra,India,Tablet,No,No,Yes,16,3
TXN102118,CUST1356,2572316316037811,59,Male,Travel,115592.96,2026-12-20,14:54:01,Bengaluru,Karnataka,India,Tablet,Yes,Yes,No,13,3
TXN102119,CUST1024,0599469669323370,19,Female,Fuel,111341.31,2026-06-12,16:52:00,Chennai,Tamil Nadu,India,Tablet,Yes,No,Yes,18,3
TXN102120,CUST1203,3234306587448883,57,Male,Fashion,70244.64,2026-11-04,23:00:53,Jaipur,Rajasthan,India,Tablet,Yes,Yes,No,18,5
TXN102121,CUST1145,5854551391960348,28,Male,Healthcare,74366.58,2026-10-15,06:35:45,Delhi,Delhi,India,Laptop,No,Yes,Yes,8,4
TXN102122,CUST1018,0436475846648674,24,Female,Fashion,73689.51,2026-02-15,04:02:25,Bengaluru,Karnataka,India,Mobile,No,No,No,6,4
TXN102123,CUST1453,7601458408114415,46,Male,ATM,16955.34,2026-06-09,22:13:44,Mumbai,Maharashtra,India,Mobile,Yes,No,No,4,0
TXN102124,CUST1315,6036118926055546,40,Female,Electronics,111240.7,2026-09-14,07:24:32,Hyderabad,Telangana,India,Laptop,No,No,Yes,9,0
TXN102125,CUST1204,4454595660030119,44,Male,Electronics,74506.63,2026-03-18,07:33:24,Jaipur,Rajasthan,India,Tablet,No,Yes,Yes,15,5
TXN102126,CUST1213,6838509570934099,23,Female,Travel,5020.29,2026-02-28,02:12:26,Hyderabad,Telangana,India,Mobile,Yes,No,No,18,2
TXN102127,CUST1194,7700627959514295,34,Female,E-Commerce,112339.55,2026-08-08,18:21:18,Madurai,Tamil Nadu,India,Mobile,No,No,No,5,3
TXN102128,CUST1352,2800161734479459,29,Male,Travel,101139.98,2026-07-29,22:13:35,Bengaluru,Karnataka,India,Laptop,No,No,No,3,5
TXN102129,CUST1700,0017078129457613,20,Female,E-Commerce,45295.25,2026-05-25,02:44:58,Hyderabad,Telangana,India,Laptop,Yes,No,No,5,4
TXN102130,CUST1207,3728756798130265,42,Female,Entertainment,142590.3,2026-08-30,03:52:05,Kochi,Kerala,India,Laptop,Yes,No,Yes,17,4
TXN102131,CUST1285,1079116114644611,55,Male,Grocery,113749.36,2026-08-23,11:51:19,Madurai,Tamil Nadu,India,POS,No,Yes,No,6,1
TXN102132,CUST1509,7487700788125325,24,Male,Fuel,112657.1,2026-10-12,00:35:10,Madurai,Tamil Nadu,India,Tablet,No,Yes,No,13,3
TXN102133,CUST1746,0286538395716468,26,Male,Grocery,124374.83,2026-04-07,21:47:30,Chennai,Tamil Nadu,India,Mobile,No,Yes,Yes,16,4
TXN102134,CUST1796,0886693207098348,35,Male,Healthcare,73781.6,2026-06-05,17:28:55,Mumbai,Maharashtra,India,Laptop,No,No,Yes,16,2
TXN102135,CUST1690,4565726765419828,24,Female,E-Commerce,40753.37,2026-09-02,18:22:00,Chennai,Tamil Nadu,India,Laptop,No,No,Yes,5,0
TXN102136,CUST1191,6269303264525733,18,Male,Entertainment,113035.19,2026-05-13,01:46:24,Bengaluru,Karnataka,India,POS,Yes,No,No,5,5
TXN102137,CUST1153,4767512583799005,31,Female,Healthcare,90091.85,2026-04-17,06:08:31,Mumbai,Maharashtra,India,Laptop,Yes,No,Yes,5,4
TXN102138,CUST1364,6283723722593103,69,Male,Entertainment,123691.59,2026-12-24,22:56:03,Chennai,Tamil Nadu,India,POS,Yes,Yes,No,2,1
TXN102139,CUST1761,7043333188384561,26,Female,Entertainment,133633.25,2026-11-17,00:17:29,Bengaluru,Karnataka,India,Tablet,Yes,No,Yes,16,3
TXN102140,CUST1586,6806455442157837,57,Male,Healthcare,43440.38,2026-06-15,06:45:09,Delhi,Delhi,India,Laptop,No,No,Yes,9,5
TXN102141,CUST1136,8839039799783315,19,Male,Electronics,14235.74,2026-09-19,11:48:37,Mumbai,Maharashtra,India,POS,No,Yes,Yes,5,2
TXN102142,CUST1012,6668606734767149,54,Female,Fashion,21391.77,2026-10-26,11:46:39,Coimbatore,Tamil Nadu,India,Mobile,Yes,No,Yes,10,1
TXN102143,CUST1481,6221559637439639,56,Female,E-Commerce,50555.69,2026-11-02,09:00:12,Pune,Maharashtra,India,POS,No,No,No,12,3
TXN102144,CUST1798,5317087300210273,42,Female,Fashion,102450.3,2026-03-27,11:47:24,Delhi,Delhi,India,Laptop,Yes,Yes,Yes,10,4
TXN102145,CUST1463,4939166019109048,51,Female,Healthcare,108013.62,2026-01-12,23:28:13,Madurai,Tamil Nadu,India,Tablet,No,No,No,18,4
TXN102146,CUST1644,3785954176090937,24,Female,Restaurant,137297.97,2026-12-29,21:42:23,Pune,Maharashtra,India,Mobile,Yes,No,No,16,1
TXN102147,CUST1733,4669447338780528,54,Male,Travel,58379.21,2026-06-26,02:35:12,Delhi,Delhi,India,POS,No,No,Yes,19,4
TXN102148,CUST1772,8837434509685938,20,Female,Electronics,112048.62,2026-01-30,04:15:02,Pune,Maharashtra,India,Tablet,No,No,Yes,9,1
TXN102149,CUST1306,3548695212156038,46,Male,Grocery,78190.9,2026-01-24,06:21:55,Hyderabad,Telangana,India,Tablet,No,No,No,1,2
TXN102150,CUST1602,0376474769116122,25,Female,Grocery,147752.69,2026-05-02,23:36:52,Mumbai,Maharashtra,India,POS,No,No,Yes,19,5
TXN102151,CUST1046,0415893335286601,70,Male,ATM,47103.61,2026-01-01,00:10:37,Kochi,Kerala,India,Tablet,Yes,Yes,Yes,1,0
TXN102152,CUST1189,4571815806194999,25,Male,Healthcare,93839.57,2026-07-11,01:56:22,Kochi,Kerala,India,Mobile,Yes,Yes,No,18,3
TXN102153,CUST1084,8671708049293285,19,Female,Fuel,90044.38,2026-02-12,04:37:14,Bengaluru,Karnataka,India,Laptop,Yes,Yes,No,19,2
TXN102154,CUST1168,2094003717758856,27,Female,Restaurant,81158.15,2026-07-18,12:06:04,Madurai,Tamil Nadu,India,Tablet,Yes,Yes,Yes,2,3
TXN102155,CUST1607,5165712118601811,60,Male,Fashion,131226.5,2026-11-11,19:59:14,Bengaluru,Karnataka,India,Mobile,Yes,No,No,19,5
TXN102156,CUST1521,7920623145968891,19,Female,Fuel,85629.55,2026-07-27,17:03:18,Kochi,Kerala,India,Mobile,No,Yes,Yes,3,1
TXN102157,CUST1773,0360816418044608,62,Male,E-Commerce,74959.5,2026-02-22,08:02:51,Pune,Maharashtra,India,Laptop,No,No,No,9,2
TXN102158,CUST1580,5060958062745669,53,Male,E-Commerce,95669.84,2026-06-28,18:41:02,Delhi,Delhi,India,POS,Yes,No,Yes,10,1
TXN102159,CUST1682,9049577625384766,56,Male,E-Commerce,120973.0,2026-04-10,01:06:25,Hyderabad,Telangana,India,Tablet,Yes,No,Yes,16,2
TXN102160,CUST1689,6859026297611662,67,Female,Healthcare,1231.31,2026-04-08,09:38:33,Madurai,Tamil Nadu,India,POS,No,No,No,2,0
TXN102161,CUST1406,5627740215723125,27,Female,Electronics,144155.54,2026-06-24,04:21:52,Mumbai,Maharashtra,India,Mobile,Yes,No,No,20,3
TXN102162,CUST1065,7215052053531318,35,Female,Healthcare,2547.91,2026-11-10,19:14:18,Madurai,Tamil Nadu,India,Laptop,Yes,Yes,Yes,1,4
TXN102163,CUST1088,2944314140878343,61,Female,Entertainment,88781.54,2026-10-06,04:44:55,Hyderabad,Telangana,India,Mobile,Yes,Yes,Yes,14,4
TXN102164,CUST1151,3137998181009624,28,Female,Travel,149007.26,2026-09-23,19:48:51,Mumbai,Maharashtra,India,Laptop,No,No,No,15,2
TXN102165,CUST1795,5263488823725442,26,Female,Fashion,49073.99,2026-02-04,14:33:43,Pune,Maharashtra,India,Laptop,Yes,No,Yes,8,2
TXN102166,CUST1345,5388287204767666,63,Male,ATM,19319.19,2026-10-07,15:19:20,Pune,Maharashtra,India,Tablet,Yes,Yes,Yes,16,2
TXN102167,CUST1213,1368593152621074,63,Male,Restaurant,118563.32,2026-05-15,07:00:40,Coimbatore,Tamil Nadu,India,Mobile,No,Yes,No,10,2
TXN102168,CUST1146,9964574433199711,61,Female,Fashion,34100.89,2026-05-05,08:50:37,Delhi,Delhi,India,Laptop,No,No,Yes,3,0
TXN102169,CUST1769,0343449975858618,51,Male,Entertainment,76784.72,2026-01-28,22:59:51,Madurai,Tamil Nadu,India,Mobile,No,Yes,No,20,2
TXN102170,CUST1223,7638274903312223,56,Female,Restaurant,83534.34,2026-08-13,00:18:28,Bengaluru,Karnataka,India,Mobile,No,Yes,No,18,3
TXN102171,CUST1318,7774070366656007,42,Male,Electronics,128228.36,2026-10-09,04:07:55,Madurai,Tamil Nadu,India,Laptop,Yes,Yes,No,18,1
TXN102172,CUST1493,8472643933045969,28,Male,Healthcare,60162.96,2026-07-23,01:56:17,Pune,Maharashtra,India,POS,Yes,Yes,Yes,7,2
